population,control_id,marker,algorithm_version,sample_size_rule,eligible_count,sample_size,record_id,included,reason_code,sample_manifest_hash
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-305,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-306,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-401,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-402,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-403,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-404,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-405,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
change,A.8.32,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,CHG-406,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.8.5,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",3,3,ACC-001,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.8.5,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",3,3,ACC-002,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.8.5,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",3,3,ACC-006,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
vulnerability,A.8.8,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",2,2,VUL-201,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
vulnerability,A.8.8,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",2,2,VUL-205,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
